,Sem.,Jour,Date,Heure,Domicile,xG,Score,xG.1,Extérieur,Affluence,Tribune,Arbitre,Rapport de match,Notes
134,13,Sam,2019-11-09,20:00,Reims,0.5,0–0,1.0,Angers,10876,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Rapport de match,
135,13,Sam,2019-11-09,20:00,Lille,1.4,0–0,0.1,Metz,33425,Stade Pierre-Mauroy,Florent Batta,Rapport de match,
136,13,Sam,2019-11-09,20:00,Strasbourg,3.5,4–1,0.5,Nîmes,24745,Stade de la Meinau,Ruddy Buquet,Rapport de match,
137,13,Dim,2019-11-10,15:00,Rennes,3.4,3–1,0.8,Amiens,20677,Roazhon Park,Benoît Bastien,Rapport de match,
138,13,Dim,2019-11-10,17:00,Nantes,0.9,2–3,0.9,Saint-Étienne,34191,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Rapport de match,
139,13,Dim,2019-11-10,17:00,Montpellier,1.0,3–0,0.3,Toulouse,12734,Stade de la Mosson,Thomas Léonard,Rapport de match,
140,13,Dim,2019-11-10,21:00,Marseille,1.2,2–1,1.1,Lyon,65421,Orange Vélodrome,Antony Gautier,Rapport de match,
141,,,,,,,,,,,,,,
142,14,Ven,2019-11-22,20:45,Paris S-G,2.6,2–0,1.0,Lille,47476,Parc des Princes,Willy Delajod,Rapport de match,
143,14,Sam,2019-11-23,17:30,Lyon,1.3,2–1,1.7,Nice,49401,Groupama Stadium,Amaury Delerue,Rapport de match,
144,14,Sam,2019-11-23,20:00,Metz,1.1,1–1,1.8,Reims,14445,Stade Saint-Symphorien,Antony Gautier,Rapport de match,
145,14,Sam,2019-11-23,20:00,Angers,1.1,1–0,0.6,Nîmes,8714,Stade Raymond Kopa,Thomas Léonard,Rapport de match,
146,14,Sam,2019-11-23,20:00,Amiens,0.3,0–4,2.0,Strasbourg,10358,Stade Crédit Agricole la Licorne,Alain Bieri,Rapport de match,
147,14,Sam,2019-11-23,20:00,Brest,1.0,1–1,1.5,Nantes,14232,Stade Francis-Le Blé,Ruddy Buquet,Rapport de match,
148,14,Sam,2019-11-23,20:00,Dijon,1.3,2–1,0.9,Rennes,12084,Stade Gaston Gérard,Jérôme Brisard,Rapport de match,
149,14,Dim,2019-11-24,15:00,Bordeaux,1.6,2–1,1.7,Monaco,34554,Stade Matmut-Atlantique,Benoît Millot,Rapport de match,
150,14,Dim,2019-11-24,17:00,Saint-Étienne,0.5,0–0,1.0,Montpellier,24336,Stade Geoffroy-Guichard,Franck Schneider,Rapport de match,
151,14,Dim,2019-11-24,21:00,Toulouse,0.9,0–2,1.6,Marseille,23002,Stadium Municipal,François Letexier,Rapport de match,
152,,,,,,,,,,,,,,
153,15,Ven,2019-11-29,20:45,Marseille,5.0,2–1,0.7,Brest,50014,Orange Vélodrome,Johan Hamel,Rapport de match,
154,15,Sam,2019-11-30,17:30,Strasbourg,0.5,1–2,0.7,Lyon,25455,Stade de la Meinau,Mikael Lesage,Rapport de match,
155,15,Sam,2019-11-30,20:00,Nice,1.2,3–1,0.6,Angers,15814,Stade de Nice,Antony Gautier,Rapport de match,
156,15,Sam,2019-11-30,20:00,Montpellier,1.5,4–2,1.0,Amiens,11744,Stade de la Mosson,Jérémie Pignard,Rapport de match,
